"Glottocode","ISO","Lect","lon","lat","Family","Type","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition","Phoneme","Tone","Onset","Nucleus","Coda","Note"
"faif1234","fif","Faifi",43.148,17.292,"Afro-Asiatic","MASTERSTHESIS","Alfaifi, Ali Hassan Jobran","2016","Aspects of the morphosyntax of the Faifa dialect of Saudi Arabic : a descriptive study",,"Ulster University",,,,,,,,"b t d ɟ k ɡ ʔ m n f θ ð s z ʃ ʒ ç ʝ x ɣ ħ ʕ h tθ r j w lˤ l sˤ tˤ ðˤ a i u aː iː uː eː","-","?","?","?",
"faro1244","fao","Faroese",-6.88497,62.0732,"Indo-European","BOOK","Árnason, Kristján","2011","The phonology of Icelandic and Faroese","Oxford University Press",,,,,,,,,"pʰ tʰ ʈʰ kʰ h͡p h͡t h͡k h͡t͡ʃ p t ʈ k t͡ʃʰ tʃ v j h s ʂ ʃ m n ɳ ŋ ɲ m̥ n̥ ŋ̥ ɲ̥ l ɭ ʎ l̥ ʎ̥ ɹ ɻ ɹ̥ ɻ̥ i e y ø u o a ʊ ɛ ɔ ʉ","-","# C pʰj pj pʰl pl pɹ pr tʰr tr tʰv tv kʰl kl kʰr kr kʰf kv kʰf kʰn kn fj fl fr sp spj spr st stj stɾ sk skr sv sl sm sn mj nj ɹj lj","i e y ø u o a ʊi ɛi ai ɔi ɛa ɔa ʉu ɔu","# l ʎ m n ɲ ŋ r p t k h͡p h͡t h͡k f s l̥ ʎ̥ m̥ n̥ ɲ̥ ŋ̥ ɹ̥ ɻ̥ CC CCC",
"sout2645","fay","Fars Dialects",52.267,29.746,"Indo-European","PHDTHESIS","Angali, Koorosh","2004","The Angali Dialect",,"University of California at Berkeley",,,,,,,,"a e o ɑ u i p b t d k ɡ q f v s z ɕ ʑ χ ʁ h t͡ɕ d͡ʑ r l m n j ʔ","-","# C","a e o ɑ u i ej ei oi ou ow uɑ ua ue","# C CC","It was not clear what the diphthong transcribed as <oi> refers to, hence it was omitted."
"finn1318","fin","Finnish",25.5577,64.7628,"Uralic","BOOK","Hakulinen, Auli and Vilkuna, Maria and Korhonen, Riitta and Koivisto, Vesa and Heinonen, Tarja Riitta and Alho, Irja","2004","Iso suomen kielioppi [Big Finnish grammar]","Suomalaisen Kirjallisuuden Seura",,,,,,,,,"i y u e ø o æ ɑ iː yː uː eː øː oː æː ɑː p t d k m n ŋ s h l r ʋ j","-","# p t d k m n ŋ s h l r ʋ j ps pl pr ts tr ks kl kr kn fl fr sp st sk sf sl sm sn sʋ sCC","i y u e ø o æ ɑ iː yː uː eː øː oː æː ɑː ei øi æi oi ɑi ey øy æy eu ou ɑu yi ui iy iu ie yø uo","# p t d k m n ŋ s h l r ʋ j ps ts ks lp lt lk lf ls rp rt rk rf rs mp ms nt ns ŋk ŋs sCC",
"fore1265","enf","Forest Enets",88.2121,69.9829,"Uralic","BOOK","Siegl, Florian","2013","Materials on Forest Enets, an indigenous language of Northern Siberia","Suomalais-Ugrilaisen Seuran Toimituksia",,,,,,,,,"p t t͡ʃ k ʔ b d dʲ ɡ m n nʲ ŋ r ð s ʃ x j l lʲ i u e o ɛ ɑ iː uː oː ɛː ɑː","-","# p t t͡ʃ k b d dʲ ɡ m n nʲ ŋ r s ʃ x j l lʲ","i u e o ɛ ɑ iː uː oː ɛː ɑː VV","# p t t͡ʃ k ʔ b d dʲ ɡ m n nʲ ŋ r ð s ʃ j l lʲ Cʔ",
"stan1290","fra","French",2,48,"Indo-European","BOOK","Walker, Douglas C.","2001","French Sound Structure","University of Calgary Press",,,,,,,,,"p t k b d ɡ f s ʃ v z ʒ m n ɲ ŋ l ʁ j ɥ w i y u e ø ə o ɛ œ ɔ a ɑ ɛ̃ œ̃ ɔ̃ ɑ̃","-","# p t k b d ɡ f s ʃ v z ʒ m n ɲ l ʁ pl pʁ tʁ kl kʁ bl bʁ dʁ ɡl ɡʁ fl fʁ vʁ sp st sk sm sn spl spʁ stʁ skl skʁ vl zb ɡz ks ps pn pt j ɥ w pj tj kj bj dj ɡj fj sj ʃj vj zj ʒj mj nj lj ʁj pɥ tɥ kɥ bɥ dɥ ɡɥ fɥ sɥ ʃɥ vɥ zɥ ʒɥ mɥ nɥ lɥ ʁɥ pw tw kw bw dw ɡw fw sw ʃw vw zw ʒw mw nw lw ʁw","i y u e ø ə o ɛ œ ɔ a ɑ ɛ̃ œ̃ ɔ̃ ɑ̃ jV ɥV wV","# p t k b d ɡ f s ʃ v z ʒ m n ɲ ŋ l ʁ j pl pʁ bl bʁ tʁ dʁ kl kʁ ɡl ɡʁ fl fʁ vʁ lp lb lt ld lk lɡ lf lv ls lm ln ʁp ʁb ʁt ʁd ʁk ʁɡ ʁf ʁv ʁs ʁz ʁʃ ʁʒ ʁm ʁn ʁɲ ʁl sp st sk sm ft mn ŋɡ ps pt ts tm tl tʃ dn dʒ kt ks km ɡm ʁpʁ ʁbʁ ʁtʁ ʁdʁ ʁkl ʁsk ʁst spʁ stʁ spl skl ʃtʁ lsk lkʁ ltʁ ptʁ ktʁ kst kstʁ",
"friu1240","fur","Friulian",13.0493,46.1473,"Indo-European","ARTICLE","Byron W. Bender and Giuseppe Francescato and Zdeněk Salzmann","1952","Friulian Phonology",,,,,"Word","216----223","8",3,,"p b f v t d s z t͡ɕ d͡ʑ k ɡ m n ɲ r l i iː e eː a aː o oː u uː","-","# p b f v t d s z t͡ɕ d͡ʑ k ɡ m n ɲ r l pr pl br bl fr fl vr tr dr kr kl ɡr ɡl sp sf st sk st͡ɕ zb zv zd zɡ zm zn zɲ zl spl sfl stl skl zbl zɡl spr sfr str skr zbr zdr zɡr","i iː e eː a aː o oː u uː","# p f t d s t͡ɕ k m n ɲ r l ts sp st sk mp mb nf nt nd ns nz nt͡ɕ nd͡ʑ nk rp rb rt rd rs rk rɡ lp lb lf lt ld ls lt͡ɕ lk lm rts lts","The source reports that the ``final [voiced] consonants are extremely rare'' (p. 219). As the source only gives four words with final /d/ as examples of singleton final voiced consonants, I assume that /d/ is the only voiced consonant appearing as a singleton coda. It is unclear whether the vowel clusters are diphthongs. But given that the stress falls on each vowel and not on each vowel cluster, I assume that the vowel clusters are not heterosyllabic."
"gaga1249","gag","Gagauz",28.0277,44.5988,"Turkic","BOOK","Özkan, Nevsat","1996","Gagavuz Türkçesi Grameri [Gagavuz Turkish grammar]","Akçağ Yayınları",,,,,,,,,"ɑ æ ɑː æː ɤ e ɤː eː ɯ i ɯː iː o ø oː øː u y uː yː b p d t ɡ k d͡ʑ t͡s t͡ɕ v z ʑ f s ɕ ç h j m n l r","-","?","ɑ æ ɑː æː ɤ eː ɤː eː ɯ i ɯː iː o ø oː øː u y uː yː VV","?",
"gali1258","glg","Galician",-7.5343,42.2446,"Indo-European","BOOK","Regueira, Xosé L.","1996","Galician",,,,,"Journal of the International Phonetic Association","119--112","26",2,,"p b t d ɟ k ɡ t͡ʃ m n ɲ ŋ r ɾ f θ s ʃ j w l i u e o ɛ ɔ a","-","?","?","?",
"galo1242","adl","Galo",94.6884956,27.9805586,"Sino-Tibetan","PHDTHESIS","Post, Mark","2007","A Grammar of Galo",,"LaTrobe University",,,,,,,,"p t t͡ɕ k b d d͡ʑ ɡ m n ɲ ŋ l j r s i ɨ u e ə o a iː ɨː uː eː əː oː aː","44 21","# p t t͡ɕ k ʔ b d d͡ʑ ɡ m n ɲ ŋ l j w ɰ r s","i ɨ u e ə o a iː ɨː uː eː əː oː aː","# p k m n r","The status of diphthongs is uncertain. The coda <K> is realized as /k/ word-finally, realized as /ɡ/ intervocalically, and fully assimilated to the following consonant preconsonantally. Here it is treated as /k/."
"ganc1239","gan","Gan Chinese",115.166,27.9896,"Sino-Tibetan","BOOK","Li, Xuping","2018","A Grammar of Gan Chinese: The Yichun Language","DeGruyter Mouton",,,,,,,,,"p t k pʰ tʰ kʰ f s x ɕ t͡s t͡ɕ t͡sʰ t͡ɕʰ m n ŋ ɲ̟ l i y u e ə o ɛ œ æ a","34 44 42 213 5","# p t k pʰ tʰ kʰ f s x ɕ t͡s t͡ɕ t͡sʰ t͡ɕʰ m n ŋ ɲ̟ l","z i u y a ia ua o io uo ə œ yœ ɛ iɛ uɛ æ iu ui ai uai ie ue ɛu iɛu ao iə uə uœ uæ m ŋ","# n ŋ ʔ",
"gata1239","gaq","Gata'",82.984,18.6076,"Austroasiatic","PHDTHESIS","Ashirvadam, K.","1992","The Structure of Didayi, an Austro-Asiatic language",,"Osmania University",,,,,,,,"i u ɪ ʊ e o ɛ ə ɔ æ a ã ĩ ũ õ p t ʈ k ʔ b d ɖ ɡ c͡ç ɟ͡ʝ m n ɳ ŋ s h l r ɽ ʋ j","-","# p t ʈ k b d ɖ ɡ c͡ç ɟ͡ʝ m n ɳ ŋ s h l r ɽ ʋ pr pl tr tl kr br bl ɖr ɖʋ ɡr ɡʋ dr dʋ nl nɡ nk nc͡ç nɟ͡ʝ nt ns nɖ mr mb mp nr nʋ rʋ nh sr sl sk st sʈ ŋʋ ŋr ŋh lʋ ncʋ nsʋ nkʋ nɡʋ nɖr","i u ɪ ʊ e o ɛ ə ɔ æ a ã ĩ ũ õ ie io oi ua ui ai au eu ei","# p t ʈ k ʔ b d ɖ ɡ c͡ç ɟ͡ʝ m n ŋ s l r j mb nʈ nɖ nt nd nk nɡ nc͡ç rk rɡ rɟ͡ʝ",
"nucl1302","kat","Georgian",43.78613,41.850397,"Kartvelian","PHDTHESIS","Butskhrikidze, Marika","2002","The consonant phonotactics of Georgian",,"Leiden University",,,,,,,,"ɪ ʊ ɛ ɔ a b d d͡z d͡ʑ ɡ p t t͡s t͡ɕ k pʼ tʼ t͡sʼ t͡ɕʼ kʼ z ʑ ɣ s ɕ x r l n m v","-","# b d d͡z d͡ʑ ɡ p t t͡s t͡ɕ k pʼ tʼ t͡sʼ t͡ɕʼ kʼ z ʑ ɣ s ɕ x χʼ r l n m v bɡ bd͡ʑ bt͡ɕʼ bz bʑ bɣ bl br bn pt pk pt͡ɕ ps pɕ px pl pr pn pʼk pʼχʼ pʼl pʼr pʼn dɡ dɣ dv dl dr dm dn tb tk tx tv tl tr tm tʼb tʼkʼ tʼχʼ tʼv tʼl tʼr ɡd ɡz ɡv ɡl ɡr ɡm ɡn kt͡s ks kɕ kv kl kr km kn kʼb kʼv kʼl kʼr kʼm kʼn d͡zɡ d͡zɣ d͡zv d͡zl d͡zr d͡zm d͡zn t͡sb t͡sd t͡st t͡sk t͡sx t͡sv t͡sr t͡sm t͡sn t͡sʼb t͡sʼt t͡sʼt t͡sʼkʼ t͡sʼχʼ t͡sʼv t͡sʼl t͡sʼr t͡sʼm t͡sʼn d͡ʑd d͡ʑɡ d͡ʑɣ d͡ʑv d͡ʑl d͡ʑm t͡ɕk t͡ɕx t͡ɕv t͡ɕl t͡ɕr t͡ɕm t͡ɕʼd t͡ɕʼkʼ t͡ɕʼχʼ t͡ɕʼv t͡ɕʼl t͡ɕʼr t͡ɕʼm t͡ɕʼn zɣ zv zr zm zn sp spʼ stʼ sk skʼ st͡sʼ sx sv sl sr sm ʑɣ ʑv ʑl ʑr ɕp ɕpʼ ɕt ɕtʼ ɕx ɕv ɕl ɕr ɕm ɕn ɣd ɣd͡z ɣd͡ʑ ɣz ɣl ɣr ɣm ɣn xd xs xɕ xv xl xr xm xn χʼb χʼd χʼv χʼl χʼr χʼm χʼn PPP PPR PČP PFP PFR ČPR ČFR FPR FČR PFFR","ɪ ʊ ɛ ɔ a r l n m","# C","The ``glottalized'' consonants are transcribed here as ejectives. /h/ not included. Based on the source's analysis, sonorants that are not adjacent to the vowel are considered as syllabic. The disyllabic sequences arising from the syllabification of sonorants in triconsonantal or longer sequences, e.g. the stop + sonorant sequences arising from sonorant + stop + sonorant sequences, where the first sonorant is syllabified, are assumed to be a subset of the disyllabic sequences listed in p. 110. It is unclear what the coda restrictions are, but given that only singleton consonants appear word-finally (p. 79, p. 85), I assume that codas can only be monosyllabic. Although the source analyzes certain clusters, such as /s/ + obstruent, not ``genuine'' clusters but rather ``complex segments'' (p. 112), here they are all treated as clusters."
"stan1295","deu","German",12.4676,48.649,"Indo-European","BOOK","Hall, Tracy Alan","2011","Syllable Structure and Syllable-Related Processes in German","Max Niemeyer Verlag",,,,,,,,,"p t k b d ɡ p͡f t͡s t͡ʃ d͡ʒ f s ʃ ç h v z ʒ m n l ʀ iː ɪ yː ʏ uː eː ɛː ɛ ə ʊ øː œ oː ɔ aː a","-","# p t k b d ɡ p͡f t͡s t͡ʃ d͡ʒ f s ʃ ç h v z ʒ m n l ʀ ʔ pʀ pl bʀ bl tʀ dʀ kʀ kl kn kv ɡʀ ɡl ɡn p͡fʀ p͡fl t͡sv fʀ fl sk ʃʀ ʃl ʃm ʃn ʃv ʃp ʃt ɡm skʀ skl ʃpʀ spl stʀ TNɪ","n m l ʀ iː ɪ yː ʏ uː eː ɛː ɛ ə ʊ øː œ oː ɔ aː a aʊ aɪ aʏ","# p t k p͡f ts tʃ f s ʃ ç x n m l ʀ nɡ ʀl ʀn ʀm ʀç ʀʃ ʀs ʀf ʀk ʀt ʀp ln lm lç lʃ ls lf lk lt lp nç nʃ ns nf nk nt np mʃ ms mf mt çs çt ʃs ʃt st fs ft fs ft pʃ ps pt ts p͡fs p͡ft t͡st t͡ʃt ʀlt ʀls ʀnt ʀns ʀmt ʀms lnt lns lmt lms ʀpt ʀkt ʀst ʀʃt ʀft ʀçt ʀps ʀts ʀks ʀʃs ʀfs ʀçs lpt lkt lst lʃt lft lçt lps lts lks lʃs lfs lçs nst nʃt nft nçt nts nʃs nfs nçs mpt mst mʃt mft mps mts mʃs mfs nɡkt nɡst nɡks pst pts tst kst kts fst fts sts ʃst çst çts p͡fst t͡ʃst ʀnst ʀlst ʀmst lmst ʀpst ʀpts ʀkst ʀkts ʀtst ʀfst ʀçst ʀʃst lpst ltst lkst lfst lçst lʃst mpst nɡkst nçst nʃst mʃst mfst",
"gheg1238","aln","Gheg Albanian",21.3837,42.317,"Indo-European","PHDTHESIS","Halimi, Halit","1990","Phonetique et phonologie de l'albanais-dialecte guegue-en vue d'une etude contrastive avec le francais standard [Phonetics and phonology of Albanian - Gheg dialect - from the view of a contrastive study with standard French]",,"Sorbonne Nouvelle University Paris 3",,,,,,,,"iː yː uː eː oː aː ɪ ʏ ʊ ɛ ə ɔ ɐ ĩː ỹː ẽː ãː ũː ɪ̃ ʏ̃ ʊ̃ ɐ̃ p t k b d ɡ t͡s t͡ʃ c d͡z d͡ʒ ɟ f θ s ʃ x v ð z ʒ j m n ŋ l ʟ r ʀ","-","p t k b d ɡ t͡s t͡ʃ c d͡z d͡ʒ ɟ f θ s ʃ x v ð z ʒ j m n ŋ l ʟ r ʀ pv pc pj ps pʃ pl pʟ pr pʀ tp tk tf tx tm tj tʟ tl tr tʀ kt kc kp ks kʃ kθ kj kn km kl kʟ kr kʀ bj bz bl bʟ br bʀ db dj dn dl dr dʀ ɡθ ɡv ɡz ɡð ɡʒ ɡl ɡʟ ɡr ɡʀ ɡm ɡn t͡sp t͡sf t͡sv t͡sm t͡sn t͡sj t͡sʀ t͡ʃp t͡ʃk t͡ʃc t͡ʃf t͡ʃv t͡ʃd t͡ʃθ t͡ʃj t͡ʃm t͡ʃl t͡ʃʀ d͡zv d͡zj d͡ʒv d͡ʒʟ ft fc fʃ fj fm fl fʟ fr fʀ θj θn θʀ sp st sk sf sc sj sm sʟ ʃp ʃt ʃk ʃc ʃθ ʃm ʃl xj vd vð vn vj vl vʟ vr vʀ ðj ðr zb zd zɡ zv zɟ zj zm ʒb ʒd ʒɡ ʒɟ ʒv mp mb mt mk mv mð mj ms mz mʃ ml mʟ mr mʀ mn mɡ nd nɡ nɟ nd͡z rj ʀp ʀk ʀt͡s ʀc ʀd͡z ʀɟ ʀf ʀz ʀj ʀm ʀn ʀʃ ʀɡ kθj vdj t͡sfr t͡ʃfr t͡ʃdr t͡ʃkr t͡ʃmb t͡ʃms str spl skj skl skʟ stj zɡʀ zɡr zɡl zbj zbl zbr zvj ʃtr ʃtʀ ʃtj ʃkr ʃkm ʃkl ʃkʟ ʃpʟ ʃpn ʃpr ʃpl ʒbr ʒdr ʒɡʀ mpr mbj mvr mbl mbr mbʀ mnd mdj ndr ndʀ nd͡zj nɡr zmbr ʃndr zl ʃmj t͡sr cl cr ɟl ɟr θl θr sr ʃr xl xr zr ʒl jl jr kt͡s ɡŋ t͡ʃn t͡ʃŋ ʃf ʃɟ ʃv ʃʀ vɟ mŋ lm spr ʃpʀ ʃfr ʃfl zdr ʒbl mps mbʟ","iː yː uː eː oː aː ɪ ʏ ʊ ɛ ə ɔ ɐ ĩː ỹː ẽː ãː ũː ɪ̃ ʏ̃ ʊ̃ ɐ̃","# p t k b d ɡ t͡s t͡ʃ c d͡z d͡ʒ ɟ f θ s ʃ x v ð z ʒ j m n ŋ l ʟ r ʀ pt pt͡s pt͡ʃ pθ ps pʃ tk tm tz kt kt͡s kθ kʃ kz kn ks kʟ bs dʃ ɡt͡s ɡt ɡʃ ɡs ɡm t͡sk t͡st t͡ʃk ct ck cθ cm cʃ d͡ʒk ft fk ft͡ʃ fʃ fm θt θm st sk sp sɡ sc sm ʃp ʃt ʃk ʃc ʃm xt xt͡s xt͡ʃ xm vd vʟ ðt ðt͡s ðm zt zd zɡ zt͡ʃ zm ʒt ʒd ʒɡ ʒn jt jk jt͡s jt͡ʃ jb jd jɡ jθ jf jc jr jn jm js z mp mt mk mb mt͡s mt͡ʃ mf mθ ms nt nk nd nɡ nt͡s nt͡ʃ nd͡z nd͡ʒ nɟ ns nz lp lt lk lb lɡ lt͡s lt͡ʃ lc lf lθ ls lm lz ʟp ʟt ʟk ʟɡ ʟt͡s ʟf ʟθ ʟv ʟz ʟm rp rt rk rb rd rɡ rt͡s rt͡ʃ rc rf rθ rs rʃ rv rð rz rd͡ʒ rm rn ʀt ʀt͡s ʀt͡ʃ ʀm ʀl kʃt pʃt ɡʃt fʃt ʃtθ ʃkθ mbt͡s mbθ mʃt ndt͡s ndθ nkθ nks nt͡sk lmt lmz lbt͡ʃ lbt rkθ rɡʃ rpθ rmt͡s rmt","The ``dorso-interdental'' <L> is transcribed as /ʟ/. The ``voiced postdental vibrant'' <R> is transcribed as /ʀ/. The ``dorso-pharyngeal'' <x> is transcribed as /x/. <j> is described both as a fricative and a semivowel, here it is interpreted as a semivowel."
"gila1241","glk","Gilaki",49.8359,37.1344,"Indo-European","PHDTHESIS","Rahmani, Monireh","1985","Ethnography of Language Change: An Ethnolinguistic Survey of the Gilaki Language",,"University of Oklahoma",,,,,,,,"a aː e ɛ ə iː i ɪ uː u oː o p t k b d ɡ t͡ɕ d͡ʑ f s ɕ x h v z ʑ ɣ ʁ m n ŋ l ɾ w j","-","# p t k b d ɡ t͡ɕ d͡ʑ f s ɕ x h v z ʑ ɣ ʁ m n l ɾ w j sb t͡ɕm kɾ bɾ t͡ɕt fɾ bz bɡ bb gɾ t͡ɕɾ bl dɾ tm","a aː e ɛ ə iː i ɪ uː u oː o","# p t k b d ɡ t͡ɕ d͡ʑ f s ɕ x h v z ʑ ɣ ʁ m n ŋ l ɾ w j d͡ʑɡ bd bɾ bz pt͡ɕ ft fɣ fɕ lɡ lɣ hz nd nn ns ɣd ɣz ɾb ɾt ɾd ɾf ɾɡ ɾm ɾɣ ɾs ɾɕ ɾt͡ɕ ɾx sb sp st sf sk sl sm sɾ ɕt ɕx ɕm zɾ jɕ ŋɡ ŋɣ ŋɣ ŋz xt","The onset cluster /bɾ/ and the syllabic structure CrC are mentioned once in p. 62 but not listed as part of the possible clusters or syllabic structures."
"meso1252","acm","Gilit Mesopotamian Arabic",43.1095,33.8178,"Afro-Asiatic","BOOK","Erwin, Wallace M.","1963","A short reference grammar of Iraqi Arabic","Georgetown University Press",,,,,,,,,"p t k q ʔ b d ɡ f θ s ç x ħ h ð z ɣ ʕ c͡ç ɟ͡ʝ m n w j l r pˤ tˤ bˤ sˤ fˤ ðˤ zˤ mˤ lˤ i u o a iː uː eː oː aː","-","?","?","?",
"goan1235","gom","Goan Konkani",74.2098,15.2732,"Indo-European","BOOK","Dhongde, Ramesh Vaman","2022","Konkani","John Benjamins Publishing Company",,,,,,,,,"i u e o ə a ĩ ũ ẽ õ ə̃ ã p t ʈ k tʰ ʈʰ kʰ b d ɖ ɡ b̤ d̤ ɖ̤ ɡ̤ m n ɳ ŋ m̥ n̥ ɳ̥ ɾ ɾ̥ l ɭ l̥ t͡s t͡ʃ t͡ʃʰ d͡z d͡ʒ d͡z̤ d͡ʒ̤ f s ʃ h w j w̥","-","# p t ʈ k tʰ ʈʰ kʰ b d ɖ ɡ b̤ d̤ ɖ̤ ɡ̤ m n ɳ m̥ n̥ ɳ̥ ɾ ɾ̥ l l̥ ɭ t͡s t͡ʃ t͡ʃʰ d͡z d͡ʒ d͡z̤ d͡ʒ̤ f s ʃ h w j w̥","i u e o ə a ĩ ũ ẽ õ ə̃ ã VV","# p t ʈ k b d ɖ ɡ m n ɳ ŋ m̥ n̥ ɳ̥ ɾ ɾ̥ l ɭ l̥ t͡s t͡ʃ d͡z d͡ʒ f s ʃ h w j w̥ CC CCC","It is unclear how many consonants are allowed in coda clusters. Based on the examples given in p. 26, I assume that it is maximally three. The nature of the diphthong phonemes <əy> and <əw> are also not clear. Here they are assumed to be biphonemic sequences, like other diphthongs presented in the source."
"ghod1238","gdo","Godoberi",46.2252,42.7428,"Nakh-Daghestanian","BOOK","Kibrik, Aleksandr E.","1996","Godoberi","Lincom",,,,,,,,,"b d ɡ p t tʰ t͡s t͡sʰ t͡ʃ t͡ʃʰ k kʰ t͡ɬ q tʼ t͡sʼ t͡ʃʼ kʼ t͡ɬʼ qʼ z ʒ ʁ sʰ s ʃʰ ʃ x xʰ ɬʰ ɬ χʰ χ ʔ h ʕ ħ m n l r w j i e a o u iː eː aː oː uː ĩ ã ũ","HH LL HL","# C FP","i e a o u iː eː aː oː uː ĩ ã ũ VV","# C",
"godw1241","gdx","Godwari",72.846,24.885,"Indo-European","PHDTHESIS","Baldota, A.N.","1982","Descriptive analysis of Sirohi",,"Deccan College",,,,,,,,"i u e ʌ o a ɒ p t ʈ k b d ɖ ɡ ɟ͡ʝ m n ɳ ŋ s ɦ l ɭ r ʋ j pʰ tʰ ʈʰ kʰ b̤ d̤ ɖ̤ ɡ̤ ɟ͡ʝ̤","-","# p t ʈ k b d ɖ ɡ ɟ͡ʝ m n ɳ s ɦ l r ʋ j pʰ tʰ ʈʰ kʰ b̤ d̤ ɖ̤ ɡ̤ ɟ͡ʝ̤ pj bj dj tj ʈj kj ɖj ɡj ɟ͡ʝj mj nj ɳj sj lj rj ʋj jj","i u e ʌ o a ɒ iʋ eʋ ʌʋ aʋ oʋ uʋ ij oj ʌj aj uj oj ɒj","# p t ʈ k b d ɖ ɡ ɟ͡ʝ m n ɳ ŋ s l ɭ r ʋ j pʰ tʰ jʈ nt nd","Nasalization contrast is marginal and was not fully described (p. 18)."
"guiq1238","gqi","Guiqiong",102.128,30.4803,"Sino-Tibetan","BOOK","Lì, Jiāng","2014","A Grammar of Guìqióng: A language of Sichuan","Brill",,,,,,,,,"i y u o ə ɛ ɔ ɐ ĩ ũ ə̃ ɐ̃ p pʰ b m ɸ β t tʰ d n s z ɬ t͡s t͡sʰ d͡z l̥ l w ʈ ʈʰ ɳ ʂ ʐ ʈ͡ʂ ɖ͡ʐ ɕ ʑ t͡ɕ t͡ɕʰ d͡ʑ ɲ j k kʰ ŋ χ ʁ h","55 33 21","# p pʰ b m ɸ β t tʰ d n s z ɬ t͡s t͡sʰ d͡z l̥ l w ʈ ʈʰ ɳ ʂ ʐ ʈ͡ʂ ɖ͡ʐ ɕ ʑ t͡ɕ t͡ɕʰ d͡ʑ ɲ j k kʰ ŋ χ ʁ h Ci Cu Cy CC CCi CCi CCu CCy","i y u o ə ɛ ɔ ɐ ĩ ũ ə̃ ɐ̃ iu iɛ iə iɔ iɐ yo ui uɛ uɐ ɛi ɐi","# n ŋ","It was not clear whether the list of diphthongs (p. 24) is comprehensive."
"guja1252","guj","Gujarati",71.0962,22.687,"Indo-European","BOOK","Cardona, George","1965","A Gujarati reference grammar","The University of Pennsylvania Press",,,,,,,,,"i u e ə o ɛ a ɔ ĩ ũ ẽ ə̃ õ ɛ̃ ã ɔ̃ k ɡ ʈ ɖ t͡ɕ d͡ʑ t d p b ħ ɳ n m ɭ l ɾ j w h ŋ ɲ","-","# k ɡ ʈ ɖ t͡ɕ d͡ʑ t d p b ħ ɳ n m ɭ l ɾ j w h kj kw kh khw kr khr kl kħ ɡh ɡj ɡw ɡɾ ɡhɾ ɡl ɡn ʈj ʈɾ ɖh t͡ɕj t͡ɕh d͡ʑj d͡ʑw d͡ʑh th tj tw tr dj dh dhj dhw dhɾ dɾ ph pj pɾ pl phl bh bj bɾ bl bhɾ ħm ħj ħw ħɾ ħl ħk ħkh ħʈ ħt ħth ħtɾ ħp ħph ħpɾ ħn ħmɾ mj mɾ ml nj wj wɾ ɖj ɭj ɾj khj","i u e ə o ɛ a ɔ ĩ ũ ẽ ə̃ õ ɛ̃ ã ɔ̃","# k ɡ ʈ ɖ t͡ɕ d͡ʑ t d p b ħ ɳ n m ɭ l ɾ j w h Ph ħP ħPh rħ kħ jC wC","Vocalic nasality is analyzed in the source as <N>, a suprasegmental phoneme <N>, which can surface as [ŋ] in the environment of /ə...k/ or /ə...ɡ/ and as [ɲ] in the environment of /ə...t͡ɕ/ and /ə...d͡ʑ/. In this database, I have not analyzed <N> as a phoneme but instead included the nasal counterparts of all oral vowels as separate phonemes, as I have done for all other lects that have distinctive vocalic nasality. I am not sure how to reflect its allophonic variation as [ŋ] or [ɲ] in the context of the database, so I regret to leave it omitted. It is uncertain whether the following onset clusters are possible: /ʈh ħh ɳj ɳh nh mh ɭh lh ɾh ɡhj ʈhj ɖhj t͡ɕhj d͡ʑhj thj phj bhj ħhj ɲhj nhj mhj ɭhj lhj ɾhj/. It is also uncertain whether /Ch/ codas other than /Ph/ codas are possible."
"gulf1241","afb","Gulf Arabic",47.5,30.17,"Afro-Asiatic","BOOK","Leung, Tommi Tsz-Cheung and Ntelitheos, Dimitrios and Al Kaabi, Meera","2020","Emirati Arabic: A Comprehensive Grammar","Routledge",,,,,,,,,"b t d k ɡ q ʔ tˤ f θ ð s z ʃ x ɣ ħ ʕ h ðˤ sˤ t͡ʃ d͡ʒ m n l lˤ r w j i iː u uː e eː oː ə a aː","-","C CC","i iː u uː e eː oː ə a aː","# C CC",
"gura1251","hac","Gurani",44.4956,36.8377,"Indo-European","PHDTHESIS","Bailey, Denise","2018","A grammar of Gawraĵū Gūrānī",,"Universität Göttingen",,,,,,,,"p b t d k ɡ q t͡ʃ d͡ʒ f s z ʃ ʒ x xʷ ħ h m n r ɾ l lˠ w j i y ɪ e ø ɛ a æ u ʊ o","-","# C [pdɡkqfxsʃzʒd͡ʒt͡ʃmnr][wrj]","i y ɪ e ø ɛ a æ u ʊ o","# C PC FC NC lC lˠC ɾC jC wC",
