"Glottocode","ISO","Lect","lon","lat","Family","Type","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition","Phoneme","Tone","Onset","Nucleus","Coda","Note"
"nima1243","noe","Nimadi",76.1264,22.1263,"Indo-European","PHDTHESIS","Lekhwani, Kanhaiyalal","1979","Descriptive analysis of Nimaḍi",,"Deccan College",,,,,,,,"i u ɪ ʊ ə e o a ĩ ũ ɪ̃ ʊ̃ ə̃ ẽ õ ã j w p t ʈ c k pʰ tʰ ʈʰ cʰ kʰ b d ɖ ɟ ɡ b̤ d̤ ɖ̤ ɟ̤ ɡ̤ m n ɳ m̥ n̥ s h l l̥ ɭ r","-","# j w p t ʈ c k pʰ tʰ ʈʰ cʰ kʰ b d ɖ ɟ ɡ b̤ d̤ ɖ̤ ɟ̤ ɡ̤ m n ɳ m̥ n̥ s h l ɭ r pr pj br bj b̤r tr tj tw dr dj dw d̤r d̤j d̤w ɖj ɟj ɟw kr kl kj kw kʰr kʰj kʰw ɡr ɡl ɡj ɡw ɡ̤r mr ml mj nj sr sl sj sw hr hj lj ɭj ɳj ʈʰj","i u ɪ ʊ ə e o a ĩ ũ ɪ̃ ʊ̃ ə̃ ẽ õ ã iw ɪw ej ew əj əu aj aw uj ʊj oj ow","# j w p t ʈ c k pʰ tʰ ʈʰ cʰ kʰ b d ɖ ɟ ɡ b̤ d̤ ɖ̤ ɟ̤ ɡ̤ m n ɳ m̥ n̥ s h l l̥ ɭ r pp pt pʰt bɟ br b̤r b̤j tt tr tj tw tʰj dd dd̤ dm dr dj d̤j ʈʈ ʈʈʰ ccʰ cj ɟj kt kk kkʰ kj kʰj ɡd̤ ɡn ɡj ɡ̤n mp mpʰ mb mb̤ mm nj nt ntʰ nd nd̤ nc nɟ nk nkʰ nɡ nɡ̤ nm nn ns nj ɳɖ ɳj rp rpʰ rt rb̤ rtʰ rc rɟ rk rm rɳ rs rj rw lp ld sp st sʈ sk ss sj sw wr ntr sʈr",
"noct1238","njb","Nocte Naga",95.3903,27.152,"Sino-Tibetan","PHDTHESIS","Boro, Krishna","2017","A Grammar of Hakhun Tangsa",,"University of Oregon",,,,,,,,"p pʰ b t tʰ d c cʰ k kʰ ɡ ʔ m n ɲ ŋ v s ʒ h r l w j i ɛ a ɔ u ɤ","L H F","# p pʰ b t tʰ d c cʰ k kʰ ɡ m n ɲ ŋ v s ʒ h r l pw pʰw bw tw tʰw dw cw cʰw kw kʰw mw nw ŋw vw sw ʒw hw rw lw pj pʰj bj tj tʰj cj cʰj kj mj vj sj hj rj lj","i ɛ a ɔ u ɤ","# p t k ʔ m n ŋ",
"noga1249","nog","Nogai",46.6618,43.5917,"Turkic","BOOK","Karakoç, Birsel","2021","Noghay","Routledge",,"The Turkic languages","Johanson, Lars and Csató-Johanson, Éva",,"354--369",,,"2","i y ɯ u e ø ɤ o a p b f v m w t d s z n l lˠ r ç ʝ k q ɡ x ɣ ŋ","-","?","?","?",
"nort2697","azj","North Azerbaijani",46.4737,40.9777,"Turkic","INCOLLECTION","Ragagnin, Elisabetta","2011","Azeri","Routledge",,"The Turkic languages","Johanson, Lars and Csató-Johanson, Éva",,,,,,"i y ɯ u e ø o æ ɑ p b t d c ɟ k ɡ f v s z ç ʝ χ h m n t͡s d͡z c͡ç ɟ͡ʝ j l r","-","# C","i y ɯ u e ø o æ ɑ","# C LT NT FT","Long vowels and non-native consonant cluster patterns that occur in loanwords were not reflected, given the lack of description."
"nort3139","apc","North Levantine Arabic",36.0468,34.1709,"Afro-Asiatic","BOOK","Cowell, Mark W.","1964","A reference grammar of Syrian Arabic (based on the dialect of Damascus)","Georgetown Univ. Press",,,,,,,,,"b p f v d t z s ʒ ʃ ɡ k x ɣ q ħ ʕ h ʔ m n l ɾ tˠ dˠ sˠ zˠ bˠ mˠ nˠ lˠ ɾˠ w j i iː u uː e eː o oː ə a aː","-","b p f v d t z s ʒ ʃ ɡ k x ɣ q ħ ʕ h ʔ m n l ɾ tˠ dˠ sˠ zˠ bˠ mˠ nˠ lˠ ɾˠ w j CC stC","i iː u uː e eː o oː ə a aː","# b p f v d t z s ʒ ʃ ɡ k x ɣ q ħ ʕ h ʔ m n l ɾ tˠ dˠ sˠ zˠ bˠ mˠ nˠ lˠ ɾˠ CC",
"nort3142","ayp","North Mesopotamian Arabic",42.0047,36.2986,"Afro-Asiatic","BOOK","Fink, Andreas","2017","Der arabische Dialekt von Hasankeyf am Tigris (Osttürkei) [The Arabic dialect of Hasankeyf in Tigris (eastern Turkey)","Otto Harrassowitz",,,,,,,,,"b p t d ʈ k ɡ q ʔ c͡ç ɟ͡ʝ f v vˤ ç ʝ x ɣ ħ ʕ h s z sˤ m n l r w iː eː oː uː aː y u ø o e ə a","-","# C CC","iː eː oː uː aː y u ø o e ə a aj aw","# C CC","The source describes emphatic consonants as velarized, but here they are transcribed as pharyngealized, as they are for all Arabic lects."
"nort2671","sme","North Saami",22.1113,68.725,"Uralic","BOOK","Kahn, Lily and Valijärvi, Riitta-Liisa","2017","North Sámi: An Essential Grammar","Routledge",,,,,,,,,"ɑ æ e i o u p t͡s t͡ʃ t ð f k h j k l m n ŋ p r s ʃ t θ v t͡s t͡ʃ","-","# C CC","ɑ æ e i o u eæ ie oa uo","# C CC",
"darg1241","dar","North-Central Dargwa",47.4388,42.4257,"Nakh-Daghestanian","INCOLLECTION","Moroz, George","2019","Phonology of Mehweb","Language Science Press",,"The Mehweb language: Essays on phonology, morphology and syntax","Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry",,"17--37",,,,"b d ɡ ɡʷ p t k kʷ q qʷ ʔ ʔʷ pʼ tʼ kʼ kʼʷ qʼ qʼʷ z̪ z ɣ ʁ ʁʷ s̪ s x xʷ χ χʷ ħ ħʷ h hʷ d̪͡z̪ d͡z t̪͡s̪ t͡s t̪͡s̪ʼ t͡sʼ m w n l r j i u e oˤ aˤ a","-","# C","i u e oˤ aˤ a","# C RT","``If the coda is complex, the first consonant is most frequently either a liquid or a nasal ... codas are predominantly sequences of a sonorant and an obstruent'' (p. 21-22). This would imply that there are exceptions, but here only the sonorant-obstruent sequence is transcribed as the possible complex coda."
"nort2741","tts","Northeastern Thai",103.67,16.03,"Tai-Kadai","PHDTHESIS","Kongsin, Phramaha Kham-Iang","1979","A descriptive analysis of the modern Northeastern Thai dialect (Modern Thai I'san)",,"Deccan College",,,,,,,,"p t k ʔ pʰ tʰ kʰ b d c͡ç m n ɲ ŋ f s h l w j i iː ɨ ɨː u uː e eː ə əː o oː ɛ ɛː a aː ɔ ɔː","M L H F R MR","p t k ʔ pʰ tʰ kʰ b d c͡ç m n ɲ ŋ f s h l w j","i iː ɨ ɨː u uː e eː ə əː o oː ɛ ɛː a aː ɔ ɔː iə ɨə uə","# p t k ʔ m n ŋ w j",
"nort2626","frr","Northern Frisian",8.58489,54.6409,"Indo-European","PHDTHESIS","Lasswell, Steven T.","1998","An ecological reference grammar of Solring North Frisian",,"University of California Santa Barbara",,,,,,,,"p b t d c k ɡ m n ɲ ŋ r f v s ʃ ç x h l ʎ j iː yː i y uː u eː øː e ø oː o a ə","-","# p b t d c k ɡ m n ɲ r f v s ʃ ç h l ʎ j CC CCC","iː yː i y uː u eː øː e ø oː o a ua ui eə oi ai au","# p t c k ɡ m n ɲ ŋ r f s ʃ ç x l ʎ CC CCC","Word-initial and word-final constraints interpreted as onset and coda constraints."
"nort2702","gno","Northern Gondi",81.3842,18.1632,"Dravidian","PHDTHESIS","Lincoln, Neville John","1969","A Descriptive Analysis of the Adilabad Dialect of Gondi",,"Cornell University",,,,,,,,"i e a o u iː eː aː oː uː p t ʈ t͡s k b d ɖ d͡z ɡ m n ŋ s ɦ w r l ɽ j","-","?","i e a o u iː eː aː oː uː","?",
